sample_id,species,sample_type,weight_mg,pH
1,Lavandula angustifolia,root,725.22,4.02
2,Rosmarinus officinalis,stem,174.03,6.18
3,Lavandula angustifolia,flower,241.07,8.45
4,Lavandula angustifolia,flower,420.81,5.69
5,Mentha spicata,flower,722.51,4.44
6,Lavandula angustifolia,flower,787.07,6.08
7,Lavandula angustifolia,leaf,213.46,8.33
8,Rosmarinus officinalis,stem,455.84,5.54
9,Curcuma longa,stem,647.51,7.6
10,Lavandula angustifolia,root,321.55,7.59
11,Curcuma longa,flower,587.55,4.94
12,Rosmarinus officinalis,stem,137.24,6.0
13,Lavandula angustifolia,stem,484.55,7.22
14,Rosmarinus officinalis,flower,694.03,5.85
15,Mentha spicata,root,786.98,4.86
16,Rosmarinus officinalis,stem,72.7,8.35
17,Lavandula angustifolia,leaf,348.39,6.93
18,Curcuma longa,stem,171.59,7.89
19,Rosmarinus officinalis,flower,366.0,4.11
20,Mentha spicata,stem,442.73,5.2
21,Lavandula angustifolia,root,83.73,6.26
22,Mentha spicata,root,244.52,4.3
23,Curcuma longa,stem,742.79,8.47
24,Rosmarinus officinalis,stem,459.51,5.06
25,Curcuma longa,flower,371.36,5.68
26,Lavandula angustifolia,leaf,605.29,4.96
27,Rosmarinus officinalis,flower,596.07,4.47
28,Mentha spicata,root,48.38,5.05
29,Mentha spicata,flower,569.87,5.35
30,Mentha spicata,root,673.0,6.85
31,Mentha spicata,leaf,141.09,5.27
32,Rosmarinus officinalis,root,626.99,5.63
33,Curcuma longa,leaf,236.36,4.03
34,Curcuma longa,root,252.11,5.65
35,Lavandula angustifolia,stem,535.56,6.4
36,Mentha spicata,stem,98.0,4.73
37,Curcuma longa,flower,535.25,6.69
38,Lavandula angustifolia,flower,711.41,5.32
39,Mentha spicata,leaf,560.09,6.84
40,Curcuma longa,root,357.86,4.12
41,Mentha spicata,root,356.19,7.99
42,Rosmarinus officinalis,root,614.43,4.07
43,Mentha spicata,leaf,456.86,4.57
44,Curcuma longa,flower,77.07,7.5
45,Rosmarinus officinalis,root,470.31,4.21
46,Curcuma longa,root,653.73,7.2
47,Mentha spicata,flower,276.28,8.37
48,Mentha spicata,leaf,742.79,7.92
49,Mentha spicata,stem,603.07,7.2
50,Lavandula angustifolia,flower,463.51,8.31
51,Rosmarinus officinalis,root,603.8,5.93
52,Rosmarinus officinalis,stem,72.53,7.93
53,Lavandula angustifolia,leaf,688.92,5.6
54,Lavandula angustifolia,root,658.99,8.18
55,Curcuma longa,leaf,728.8,4.67
56,Lavandula angustifolia,stem,111.62,8.23
57,Rosmarinus officinalis,leaf,74.61,7.75
58,Mentha spicata,flower,119.35,7.81
59,Mentha spicata,leaf,325.51,4.56
60,Curcuma longa,flower,345.2,6.68
61,Lavandula angustifolia,flower,454.15,4.07
62,Rosmarinus officinalis,stem,106.57,7.25
63,Mentha spicata,leaf,169.11,4.03
64,Curcuma longa,stem,651.2,4.38
65,Lavandula angustifolia,root,379.71,5.01
66,Lavandula angustifolia,leaf,648.27,7.94
67,Lavandula angustifolia,leaf,15.87,5.64
68,Lavandula angustifolia,flower,445.76,6.43
69,Rosmarinus officinalis,leaf,746.23,6.56
70,Lavandula angustifolia,leaf,469.92,5.01
71,Mentha spicata,flower,172.82,6.57
72,Curcuma longa,leaf,577.03,6.97
73,Curcuma longa,leaf,309.4,5.34
74,Curcuma longa,root,538.02,5.88
75,Rosmarinus officinalis,leaf,33.16,6.04
76,Mentha spicata,leaf,512.36,8.2
77,Lavandula angustifolia,leaf,35.44,6.64
78,Mentha spicata,stem,598.38,8.27
79,Lavandula angustifolia,flower,383.6,6.5
80,Rosmarinus officinalis,stem,106.19,6.25
81,Curcuma longa,root,438.68,4.02
82,Lavandula angustifolia,root,62.75,6.16
83,Mentha spicata,leaf,526.16,8.17
84,Lavandula angustifolia,stem,796.91,4.89
85,Lavandula angustifolia,stem,617.82,4.23
86,Curcuma longa,root,463.28,5.83
87,Mentha spicata,stem,91.08,5.68
88,Curcuma longa,stem,562.87,7.86
89,Curcuma longa,leaf,532.32,4.12
90,Lavandula angustifolia,flower,48.79,8.14
91,Curcuma longa,stem,635.92,7.06
92,Rosmarinus officinalis,leaf,419.79,8.07
93,Curcuma longa,leaf,346.44,6.73
94,Lavandula angustifolia,root,632.67,7.65
95,Rosmarinus officinalis,stem,335.14,5.51
96,Curcuma longa,flower,390.01,5.57
97,Rosmarinus officinalis,root,153.49,5.75
98,Lavandula angustifolia,flower,263.84,7.4
99,Mentha spicata,root,677.97,5.66
100,Mentha spicata,leaf,157.65,5.09
101,Rosmarinus officinalis,flower,339.66,8.22
102,Mentha spicata,root,791.34,8.09
103,Lavandula angustifolia,flower,196.91,5.57
104,Rosmarinus officinalis,root,734.3,6.86
105,Rosmarinus officinalis,stem,735.53,5.23
106,Curcuma longa,leaf,82.12,4.93
107,Mentha spicata,flower,376.29,5.51
108,Rosmarinus officinalis,flower,406.75,5.47
109,Rosmarinus officinalis,root,257.8,7.97
110,Mentha spicata,flower,47.4,7.7
111,Mentha spicata,root,200.93,7.19
112,Curcuma longa,leaf,85.47,8.32
113,Rosmarinus officinalis,stem,198.22,5.9
114,Lavandula angustifolia,flower,648.15,5.1
115,Curcuma longa,root,717.03,4.53
116,Curcuma longa,root,44.15,5.35
117,Curcuma longa,stem,248.54,4.65
118,Rosmarinus officinalis,root,784.66,4.41
119,Rosmarinus officinalis,stem,436.21,6.71
120,Curcuma longa,stem,504.78,5.64
