sample_id,species,sample_type,supplier_id,weight_mg,pH,moisture_pct,collection_date
S0001,Lavandula angustifolia,stem,SUP-A,257.39,5.36,10.03,2025-01-01
S0002,Curcuma longa,stem,SUP-A,877.06,7.94,9.22,2025-01-02
S0003,Mentha spicata,leaf,SUP-C,384.13,3.91,7.1,2025-01-03
S0004,Lavandula angustifolia,stem,SUP-B,808.24,7.79,3.85,2025-01-04
S0005,Lavandula angustifolia,leaf,SUP-B,586.47,5.18,15.97,2025-01-05
S0006,Curcuma longa,root,SUP-A,725.59,4.38,15.19,2025-01-06
S0007,Mentha spicata,stem,SUP-D,477.24,7.21,18.0,2025-01-07
S0008,Mentha spicata,root,SUP-B,540.37,6.88,17.95,2025-01-08
S0009,Lavandula angustifolia,leaf,SUP-D,468.64,8.1,11.33,2025-01-09
S0010,Rosmarinus officinalis,flower,SUP-B,215.96,7.4,14.53,2025-01-10
S0011,Lavandula angustifolia,stem,SUP-D,664.08,7.74,17.17,2025-01-11
S0012,Lavandula angustifolia,leaf,SUP-C,288.66,5.18,15.74,2025-01-12
S0013,Lavandula angustifolia,flower,SUP-D,70.67,4.67,6.71,2025-01-13
S0014,Lavandula angustifolia,flower,SUP-C,598.65,7.48,9.76,2025-01-14
S0015,Curcuma longa,root,SUP-C,200.54,7.75,4.94,2025-01-15
S0016,Mentha spicata,leaf,SUP-D,849.39,8.65,17.31,2025-01-16
S0017,Curcuma longa,flower,SUP-C,860.84,5.82,12.09,2025-01-17
S0018,Curcuma longa,stem,SUP-A,827.63,5.62,6.43,2025-01-18
S0019,Curcuma longa,stem,SUP-C,364.63,7.6,13.08,2025-01-19
S0020,Lavandula angustifolia,root,SUP-B,63.14,5.47,12.27,2025-01-20
S0021,Rosmarinus officinalis,flower,SUP-D,839.07,8.36,8.37,2025-01-21
S0022,Mentha spicata,leaf,SUP-A,413.96,8.01,4.7,2025-01-22
S0023,Rosmarinus officinalis,stem,SUP-D,871.66,5.9,13.07,2025-01-23
S0024,Curcuma longa,flower,SUP-B,869.08,7.48,10.8,2025-01-24
S0025,Curcuma longa,flower,SUP-B,775.06,7.5,14.58,2025-01-25
S0026,Rosmarinus officinalis,root,SUP-B,300.28,4.31,10.8,2025-01-26
S0027,Rosmarinus officinalis,stem,SUP-C,377.33,8.22,15.78,2025-01-27
S0028,Rosmarinus officinalis,stem,SUP-C,773.47,6.28,11.28,2025-01-28
S0029,Curcuma longa,leaf,SUP-D,319.38,7.85,11.41,2025-01-29
S0030,Curcuma longa,stem,SUP-D,194.07,5.37,16.15,2025-01-30
S0031,Mentha spicata,leaf,SUP-A,523.28,8.19,9.05,2025-01-31
S0032,Mentha spicata,stem,SUP-A,845.73,5.71,5.01,2025-02-01
S0033,Curcuma longa,root,SUP-D,641.63,3.85,3.43,2025-02-02
S0034,Rosmarinus officinalis,stem,SUP-C,534.55,8.24,14.33,2025-02-03
S0035,Rosmarinus officinalis,leaf,SUP-B,132.6,4.25,12.3,2025-02-04
S0036,Mentha spicata,leaf,SUP-D,572.76,5.36,13.56,2025-02-05
S0037,Curcuma longa,root,SUP-A,891.55,8.46,6.19,2025-02-06
S0038,Mentha spicata,stem,SUP-C,169.07,8.46,5.05,2025-02-07
S0039,Mentha spicata,stem,SUP-D,490.58,6.61,3.22,2025-02-08
S0040,Lavandula angustifolia,root,SUP-D,795.77,6.9,8.26,2025-02-09
S0041,Lavandula angustifolia,stem,SUP-C,679.65,6.0,11.85,2025-02-10
S0042,Lavandula angustifolia,stem,SUP-D,642.46,5.24,8.88,2025-02-11
S0043,Rosmarinus officinalis,leaf,SUP-C,647.11,5.41,9.56,2025-02-12
S0044,Curcuma longa,stem,SUP-B,355.57,7.1,16.56,2025-02-13
S0045,Curcuma longa,stem,SUP-C,299.55,7.49,8.22,2025-02-14
S0046,Curcuma longa,root,SUP-C,737.96,7.68,10.71,2025-02-15
S0047,Curcuma longa,root,SUP-C,738.6,7.67,14.75,2025-02-16
S0048,Lavandula angustifolia,flower,SUP-D,787.01,4.25,8.95,2025-02-17
S0049,Rosmarinus officinalis,leaf,SUP-D,826.25,6.22,12.33,2025-02-18
S0050,Rosmarinus officinalis,stem,SUP-C,484.64,4.08,15.94,2025-02-19
S0051,Lavandula angustifolia,stem,SUP-D,476.29,6.49,17.24,2025-02-20
S0052,Rosmarinus officinalis,flower,SUP-A,728.55,5.96,5.21,2025-02-21
S0053,Lavandula angustifolia,stem,SUP-A,602.47,8.15,16.9,2025-02-22
S0054,Curcuma longa,leaf,SUP-D,646.67,5.52,10.38,2025-02-23
S0055,Lavandula angustifolia,flower,SUP-D,726.42,4.37,6.87,2025-02-24
S0056,Curcuma longa,leaf,SUP-C,806.5,4.5,9.89,2025-02-25
S0057,Curcuma longa,flower,SUP-B,337.3,7.53,17.7,2025-02-26
S0058,Mentha spicata,flower,SUP-D,369.25,6.83,10.39,2025-02-27
S0059,Lavandula angustifolia,root,SUP-A,129.88,4.3,7.93,2025-02-28
S0060,Mentha spicata,leaf,SUP-C,541.54,4.21,12.5,2025-03-01
S0061,Lavandula angustifolia,stem,SUP-D,80.55,7.23,6.6,2025-03-02
S0062,Lavandula angustifolia,stem,SUP-A,445.76,4.16,4.14,2025-03-03
S0063,Mentha spicata,leaf,SUP-A,511.25,7.83,4.93,2025-03-04
S0064,Mentha spicata,stem,SUP-B,293.56,7.26,4.92,2025-03-05
S0065,Lavandula angustifolia,stem,SUP-C,552.21,4.2,5.28,2025-03-06
S0066,Rosmarinus officinalis,leaf,SUP-C,75.93,4.22,5.08,2025-03-07
S0067,Curcuma longa,flower,SUP-B,81.75,8.63,12.61,2025-03-08
S0068,Mentha spicata,leaf,SUP-B,749.21,5.63,5.73,2025-03-09
S0069,Curcuma longa,flower,SUP-C,356.16,5.62,8.19,2025-03-10
S0070,Rosmarinus officinalis,stem,SUP-C,158.0,7.78,16.45,2025-03-11
S0071,Rosmarinus officinalis,stem,SUP-D,493.91,8.44,10.11,2025-03-12
S0072,Rosmarinus officinalis,stem,SUP-D,704.49,8.63,13.01,2025-03-13
S0073,Mentha spicata,root,SUP-B,233.45,7.49,5.58,2025-03-14
S0074,Rosmarinus officinalis,flower,SUP-D,579.46,5.64,5.88,2025-03-15
S0075,Mentha spicata,root,SUP-A,122.55,4.21,3.61,2025-03-16
S0076,Rosmarinus officinalis,root,SUP-D,93.93,7.61,5.53,2025-03-17
S0077,Curcuma longa,leaf,SUP-D,501.65,6.54,7.18,2025-03-18
S0078,Curcuma longa,root,SUP-A,509.54,5.88,5.66,2025-03-19
S0079,Lavandula angustifolia,leaf,SUP-B,591.82,8.24,4.33,2025-03-20
