site_id,region,water_source,pH,turbidity_ntu,dissolved_oxygen_mgL,nitrates_mgL,ec_uscm,sampling_date,ph_category,tb_category,dissolved_oxygen,nitrates,electric_cond,Water_Status,source_type
W0001,Masvingo,Umzingwane Dam,8.61,99.59,9.31,16.5,672.31,2025-01-01,basic,unsafe,very Good,unsafe,normal(acceptable),UNSAFE,Dam
W0002,Mashonaland East,Manyame River,5.83,110.94,3.56,11.66,438.28,2025-01-02,acidic,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,River
W0003,Matabeleland North,Harare Borehole,7.48,78.51,4.35,4.91,1194.28,2025-01-03,neutral,unsafe,Low (poor),normal(acceptable),unsafe,UNSAFE,Borehole
W0004,Mashonaland West,Umzingwane Dam,6.36,64.6,11.63,8.21,881.36,2025-01-04,acidic,unsafe,very Good,normal(acceptable),normal(acceptable),UNSAFE,Dam
W0005,Masvingo,Tugwi-Mukosi Dam,6.77,131.62,4.55,27.85,1005.3,2025-01-05,neutral,unsafe,Low (poor),unsafe,unsafe,UNSAFE,Dam
W0006,Midlands,Harare Borehole,7.25,63.21,8.62,20.28,415.85,2025-01-06,neutral,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,Borehole
W0007,Mashonaland Central,Save River,6.81,69.83,11.79,14.88,369.33,2025-01-07,neutral,unsafe,very Good,unsafe,normal(acceptable),UNSAFE,River
W0008,Masvingo,Mutare Borehole,7.9,148.56,5.74,0.38,758.14,2025-01-08,basic,unsafe,normal(healthy),Low (safe),normal(acceptable),UNSAFE,Borehole
W0009,Matabeleland North,Save River,7.27,1.04,2.18,29.77,1119.47,2025-01-09,neutral,Low Clear,Low (poor),unsafe,unsafe,UNSAFE,River
W0010,Mashonaland West,Umzingwane Dam,7.66,28.64,4.44,20.14,811.6,2025-01-10,basic,normal,Low (poor),unsafe,normal(acceptable),UNSAFE,Dam
W0011,Mashonaland East,Tugwi-Mukosi Dam,8.23,58.21,10.31,9.51,97.34,2025-01-11,basic,unsafe,very Good,normal(acceptable),Low (fresh),UNSAFE,Dam
W0012,Matabeleland North,Gweru Borehole,7.56,139.96,10.65,26.38,1309.4,2025-01-12,basic,unsafe,very Good,unsafe,unsafe,UNSAFE,Borehole
W0013,Matabeleland North,Umzingwane Dam,7.67,11.43,9.69,7.75,143.8,2025-01-13,basic,normal,very Good,normal(acceptable),Low (fresh),SAFE,Dam
W0014,Mashonaland Central,Manyame River,7.59,2.41,3.13,16.32,1435.95,2025-01-14,basic,Low Clear,Low (poor),unsafe,unsafe,UNSAFE,River
W0015,Manicaland,Gwayi River,6.9,8.85,9.96,19.08,86.46,2025-01-15,neutral,normal,very Good,unsafe,Low (fresh),UNSAFE,River
W0016,Mashonaland West,Umzingwane Dam,6.75,14.19,11.19,6.63,1056.95,2025-01-16,neutral,normal,very Good,normal(acceptable),unsafe,UNSAFE,Dam
W0017,Bulawayo,Mutare Borehole,8.83,6.6,8.01,29.35,169.2,2025-01-17,basic,normal,normal(healthy),unsafe,Low (fresh),UNSAFE,Borehole
W0018,Matabeleland North,Mutare Borehole,7.75,72.49,11.41,22.45,1370.48,2025-01-18,basic,unsafe,very Good,unsafe,unsafe,UNSAFE,Borehole
W0019,Manicaland,Umzingwane Dam,6.4,87.53,10.27,16.73,723.43,2025-01-19,acidic,unsafe,very Good,unsafe,normal(acceptable),UNSAFE,Dam
W0020,Bulawayo,Harare Borehole,7.34,41.48,8.67,5.42,249.41,2025-01-20,neutral,normal,normal(healthy),normal(acceptable),Low (fresh),SAFE,Borehole
W0021,Mashonaland West,Gwayi River,6.72,60.34,7.77,1.62,544.18,2025-01-21,neutral,unsafe,normal(healthy),Low (safe),normal(acceptable),UNSAFE,River
W0022,Harare,Manyame River,8.95,14.66,5.49,9.6,289.0,2025-01-22,basic,normal,normal(healthy),normal(acceptable),Low (fresh),UNSAFE,River
W0023,Midlands,Umzingwane Dam,5.53,51.12,3.59,22.6,297.34,2025-01-23,acidic,unsafe,Low (poor),unsafe,Low (fresh),UNSAFE,Dam
W0024,Manicaland,Harare Borehole,6.33,78.86,8.05,8.08,1424.76,2025-01-24,acidic,unsafe,normal(healthy),normal(acceptable),unsafe,UNSAFE,Borehole
W0025,Matabeleland South,Mutare Borehole,6.85,110.11,5.18,16.19,695.61,2025-01-25,neutral,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,Borehole
W0026,Harare,Mutare Borehole,7.3,1.5,10.66,21.84,1193.76,2025-01-26,neutral,Low Clear,very Good,unsafe,unsafe,UNSAFE,Borehole
W0027,Midlands,Tugwi-Mukosi Dam,8.65,70.63,11.93,3.24,977.43,2025-01-27,basic,unsafe,very Good,normal(acceptable),normal(acceptable),UNSAFE,Dam
W0028,Mashonaland Central,Umzingwane Dam,5.83,45.25,9.52,20.56,1030.82,2025-01-28,acidic,normal,very Good,unsafe,unsafe,UNSAFE,Dam
W0029,Masvingo,Gwayi River,8.48,128.07,2.9,2.76,240.96,2025-01-29,basic,unsafe,Low (poor),Low (safe),Low (fresh),UNSAFE,River
